id,name,symbol,data_added,last_updated,price,volume_24h,circulating_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d
2113,DeFi Bids,BID,2020-09-03T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.4065936606286701e-03,+9.9380354166999996e+02,+2.2964266272048522e+07,+4.2393202930305697e+07,,-6.4113619999999996e-02,+6.2589260000000002e-01,-4.4086480899999998e+00
2114,Aluna.Social,ALN,2020-05-06T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.6447492119833181e-03,+1.4431751341280000e+04,+3.7716865948420137e+07,+9.9788845814562082e+07,+1.0000000000000000e+08,+6.5599660000000004e-02,+8.6084582300000001e+00,+1.6059325500000000e+01
2115,Dracula Token,DRC,2020-10-12T00:00:00.000Z,2023-02-12T02:18:00.000Z,+6.8454395893887843e-03,+0.0000000000000000e+00,+1.4523862736639490e+07,+1.4759827735030619e+07,,+0.0000000000000000e+00,+0.0000000000000000e+00,+0.0000000000000000e+00
2116,Genesis Shards,GS,2021-04-14T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.1893835037499928e-03,+1.5431761309680000e+04,+1.2030988000000000e+07,+2.0891124800000000e+08,,-5.0982300000000001e-02,+1.6057145900000001e+00,-5.4076459799999999e+00
2117,MyBit,MYB,2017-08-19T00:00:00.000Z,2023-02-12T02:18:00.000Z,+6.1488330636729567e-04,+3.2070241138000000e+02,+1.5718702713015482e+08,+1.7999674991415927e+08,,-3.3664109999999997e-02,+2.2058576129999999e+01,+1.5430246650000001e+01
2118,Bitcoin Confidential,BC,2019-05-28T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.3012947522894898e-05,+1.2913821120000000e+01,+7.3659015230000000e+09,+7.3677972681499996e+09,+9.6000000000000000e+09,+8.1419999999999995e-04,-3.2059338949999997e+01,-7.6558921170000005e+01
2119,BBSCoin,BBS,2018-08-30T00:00:00.000Z,2023-02-12T02:18:00.000Z,+9.4045596232804131e-07,+0.0000000000000000e+00,+1.0157861487757779e+11,+1.0157861487757779e+11,+1.8447000000000000e+11,-1.9648082000000000e-01,+2.0086502000000001e-01,-4.5784492400000003e+00
2120,OpenSwap,OSWAP,2021-05-21T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.4791569207548749e-03,+1.2658244800000000e+00,+2.1118055000000000e+07,+2.2000000000000000e+08,+1.0000000000000000e+09,-3.6109166999999998e-01,+5.0748419000000000e-01,-1.0052452580000001e+01
2121,Spaceswap MILK2,MILK2,2020-10-13T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.2791222528401324e-02,+2.4001413994000000e+03,+7.3769373620207403e+06,+7.4416420407435903e+06,+6.5200000000000000e+07,-3.6159778999999997e-01,+8.1219933000000000e-01,+8.9831124199999994e+00
2122,Nyzo,NYZO,2020-01-21T00:00:00.000Z,2023-02-12T02:18:00.000Z,+7.8933139385012618e-03,+1.3885902051870000e+04,+1.1919651239872999e+07,+1.0000000000000000e+08,,+7.8545580000000004e-02,-3.5898427999999999e-01,-1.5191233049999999e+01
2123,Subme,SUB,2021-09-16T21:21:43.000Z,2023-02-12T02:18:00.000Z,+9.1331138240301841e-04,+2.8808036919999999e+01,+1.0216595000000000e+08,+8.7145284100000000e+08,+8.8000000000000000e+08,-7.6581599999999998e-03,-5.1787070999999996e-01,-5.7268456600000004e+00
2124,Kawaii Islands,KWT,2021-10-05T01:41:48.000Z,2023-02-12T02:18:00.000Z,+3.1031094567217027e-03,+2.6252755615049999e+04,+3.0000000000000000e+07,+8.0467217800000000e+08,+9.9979119400000000e+08,+1.0942472000000000e-01,-1.2434930600000000e+00,+3.1192575280000000e+01
2125,WorkQuest Token,WQT,2021-04-05T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.4950691936419852e-03,+1.2539229323924999e+05,+3.7151499548711501e+07,+1.0000000000000000e+08,+1.0000000000000000e+08,-3.3999021000000001e-01,-3.6571252999999998e-01,-1.1202243610000000e+01
2126,TERA,TERA,2019-05-21T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.0902429392265036e-04,+3.3576710799999998e+00,+8.4471112800000000e+08,+1.0000000000000000e+09,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2127,Citadel,CTL,2016-06-02T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.2858463381214279e-03,+0.0000000000000000e+00,+1.0969268522954000e+07,+1.2300000000000000e+07,+1.8500000000000000e+07,-1.1118453000000000e-01,+6.9428917999999995e-01,-2.6063776959999998e+01
2128,Insight Protocol,INX,2020-07-14T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.8859740528198192e-04,+4.5468735245856000e+06,+1.8328566344200039e+08,+2.0000000000000000e+09,,-7.0747335000000000e-01,+3.9435280300000000e+00,+6.2298248219999998e+01
2129,Asch,XAS,2017-04-01T00:00:00.000Z,2023-02-12T02:18:00.000Z,+9.6219289152767835e-04,+0.0000000000000000e+00,+9.3355331000000000e+07,+1.1485533100000000e+08,,+4.0481700000000002e-03,-3.0371260000000000e-01,+6.3137884000000000e-01
2130,Masari,MSR,2018-04-24T00:00:00.000Z,2023-02-12T02:18:00.000Z,+5.2331661082872169e-03,+4.1178488677000001e+02,+1.7142056131294958e+07,+1.7142056131294958e+07,+1.8500000000000000e+07,-1.1118453000000000e-01,-7.0514253800000004e+00,-3.1407180480000001e+01
2131,Cobinhood,COB,2017-10-01T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.1804858784530071e-04,+0.0000000000000000e+00,+4.1099984698997319e+08,+1.0000000000000000e+09,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2132,Cryptojacks,CJ,2016-07-11T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.1804858784530071e-04,+0.0000000000000000e+00,+4.0656858090842003e+08,+4.0656858090842003e+08,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
